,Bagasse,4,4,4,4,4,4,4,6,5,6,5,6,6,7,6,6,7,7,6,
,Renewable municipal waste,,,,,,,,,,,,,,,,,,,,
,Other solid biofuels,,,,,,,,,,,,,,,,,,,,
,Liquid biofuels,,,,,,,,,,,,,,,,,,,,
,Biogas,,,,,,,,,,,,,,,,,,,,
,Geothermal,,,,,,,,,,,,,,,,,,,,
Cabo Verde,Total renewable energy,5,4,6,5,6,6,7,7,6,5,4,25,70,83,89,85,83,75,89,
,Hydropower,,,,,,,,,,,,,,,,,,,,
,Renewable hydropower,,,,,,,,,,,,,,,,,,,,
,Pumped storage,,,,,,,,,,,,,,,,,,,,
,Marine,,,,,,,,,,,,,,,,,,,,
,Wind,5,4,6,5,6,6,7,7,6,5,2,16,63,76,83,79,77,68,80,
,Onshore wind energy,5,4,6,5,6,6,7,7,6,5,2,16,63,76,83,79,77,68,80,
,Offshore wind energy,,,,,,,,,,,,,,,,,,,,
,Solar,0,0,0,0,0,0,0,0,0,0,2,9,7,7,7,6,6,7,9,
,Solar photovoltaic,0,0,0,0,0,0,0,0,0,0,2,9,7,7,7,6,6,7,9,
,Concentrated solar power,,,,,,,,,,,,,,,,,,,,
,Bioenergy,,,,,,,,,,,,,,,,,,,,
,Solid biofuels,,,,,,,,,,,,,,,,,,,,
,Bagasse,,,,,,,,,,,,,,,,,,,,
,Renewable municipal waste,,,,,,,,,,,,,,,,,,,,
,Other solid biofuels,,,,,,,,,,,,,,,,,,,,
,Liquid biofuels,,,,,,,,,,,,,,,,,,,,
,Biogas,,,,,,,,,,,,,,,,,,,,
,Geothermal,,,,,,,,,,,,,,,,,,,,
Cameroon,Total renewable energy,3 442,3 474,3 182,3 528,3 920,3 772,3 892,3 847,4 232,4 017,4 261,4 389,4 260,4 378,4 380,4 383,4 385,5 106,5 109,
,Hydropower,3 442,3 474,3 182,3 528,3 920,3 772,3 892,3 847,4 232,4 016,4 260,4 385,4 256,4 373,4 373,4 373,4 373,5 090,5 090,
,Renewable hydropower,3 442,3 474,3 182,3 528,3 920,3 772,3 892,3 847,4 232,4 016,4 260,4 385,4 256,4 373,4 373,4 373,4 373,5 090,5 090,
,Pumped storage,,,,,,,,,,,,,,,,,,,,
,Marine,,,,,,,,,,,,,,,,,,,,
,Wind,,,,,,,,,,,,,,,,,,,,
,Onshore wind energy,,,,,,,,,,,,,,,,,,,,
,Offshore wind energy,,,,,,,,,,,,,,,,,,,,
,Solar,0,0,0,0,0,0,0,0,0,1,1,3,4,5,8,10,12,16,20,
,Solar photovoltaic,0,0,0,0,0,0,0,0,0,1,1,3,4,5,8,10,12,16,20,
,Concentrated solar power,,,,,,,,,,,,,,,,,,,,
,Bioenergy,,,,,,,,,,,,,,,,,,,,
,Solid biofuels,,,,,,,,,,,,,,,,,,,,
,Bagasse,,,,,,,,,,,,,,,,,,,,
,Renewable municipal waste,,,,,,,,,,,,,,,,,,,,
,Other solid biofuels,,,,,,,,,,,,,,,,,,,,
,Liquid biofuels,,,,,,,,,,,,,,,,,,,,
,Biogas,,,,,,,,,,,,,,,,,,,,
